,,TUTORIAL,,4C11,,4C12,,4C13,,4C14,,4C15,,4C16,,4C17,,4C18,,4C19,,4C10,,4C21,,4C22,,4C23,,4C24,,4C25,,4C26,,4C27,,4C28,,4C29,,4C20,,4C31,,4C32,,4C33,,4C34,,4C35,,4C36,,4C37,,4C38,,4C39,,4C40,,4C41,,4C42,,4C43,,4C44,,4C45,,4C46,,4C47,,4C48,,4Q11,,4Q12,,4Q13,,4Q14,,4Q15,,4Q16,,4Q17,,4Q18,,4Q21,,4Q22,,4Q23,,4Q24,,4Q25,,4Q26,,4Q27,,4Q28,,,,
DAY,,PRACTICAL,HOURS,4C1A,,4C1B,,4C1C,,4C1D,,4C1E,,4C1F,,4C1G,,4C1H,,4C1I,,4C1Z,,4C2A,,4C2B,,4C2C,,4C2D,,4C2E,,4C2F,,4C2G,,4C2H,,4C2I,,4C2Z,,4C3A,,4C3B,,4C3C,,4C3D,,4C3E,,4C3F,,4C3G,,4C3H,,4C3I,,4C3J,,4C4A,,4C4B,,4C4C,,4C4D,,4C4E,,4C4F,,4C4G,,4C4H,,4Q1A,,4Q1B,,4Q1C,,4Q1D,,4Q1E,,4Q1F,,4Q1G,,4Q1H,,4Q2A,,4Q2B,,4Q2C,,4Q2D,,4Q2E,,4Q2F,,4Q2G,,4Q2H,,DAY,,HOURS
T,,,,,,,,,,,,,,,,,,,,,,,,,,,,F304,,,,,,,,,,,,GC-1(L106),,GC-2(L107),,,,,,,,,,,,,,,,,,,,,,E205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,
,2,,8:50 AM,,,,,,,,,,,,,,,,,,,,,,,,,LC17,,,,,,,,,,,,LAB,,LAB,,UCS802L,,,,,,,,,,,,,,,,,,,,LC21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8:50 AM
U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,REG-RA,,JPK,,T101,,,,,,,,,,,,,,,,,,,SKH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U,,
,3,,9:40 AM,,,,,,,,,,,,,UCS802P,,,,,,,,UHU005L,,,,,,,,,,,,,,,,,,,,,,UHU005P,,UHU005P,,,,,,,,UCS802P,,UCS802P,,,,,,,,,,,,,,,,,,,,,,UHU005L,,,,,,,,,,,,,,,,,,,,,,UHU005P,,,,,,,,,,,3,9:40 AM
E,,,,,,,,,,,,,,,,CG1(L429),,,,,,,,E104,,,,,,,,,,,,,,,,,,,RR,,,F304,,E205,,,,,,,,GC-1(L106),,GC-2(L107),,,,,,,,,,,,,,,,,,,,,,T101,,,,,,,,,,,,,,,SPT,,,,,,,F302,,,,,,,,,,E,,
,4,,10:30 AM,,,,,,,,,,,,,LAB,,,,,,,,UCS802L,,,,,,,,,,,,,,,,,,,,,,LC19,,AST,,,,,,,,LAB,,LAB,,,,,,,,,,,,,,,,,,,,,,UCS802L,,,,,,,,,,,,,,,,,,,,,,LAB,,,,,,,,,,,4,10:30 AM
S,,,,,,,,,,,,,,,,NKA,,,,,,,,E104,,,,,,,,,,,,,,,,,,,SHB,,,,,,,,,,,,,REG-RA,,SKH,,,,,,,,,,,,,,,,,,,,,,T101,,,,,,,,,,,,,,,KAR,,,,,,,LC25,,,,,,,,,,S,,
,5,,11:20 AM,UCS751L/UCS752L/UCS754L/UCS758L/UCS750L/UCS762L/UCS760L/UCS748L/UCS745L/UCS772L/UMC743L,,,,,,,,,,,,,,,,,,,,UCS751L/UCS752L/UCS754L/UCS758L/UCS750L/UCS762L/UCS760L/UCS748L/UCS745L/UCS772L/UMC743L,,,,,,,,,,,,,,,,,,,,UCS751L/UCS752L/UCS754L/UCS758L/UCS750L/UCS762L/UCS760L/UCS748L/UCS745L/UCS772L/UMC743L,,,,,,,,,,,,,,,,,,,,UCS751L/UCS752L/UCS754L/UCS758L/UCS750L/UCS762L/UCS760L/UCS748L/UCS745L/UCS772L/UMC743L,,,,,,,,,,,,,,,,UCS751L/UCS752L/UCS754L/UCS758L/UCS750L/UCS762L/UCS760L/UCS748L/UCS745L/UCS772L/UMC743L,,,,,,,,,,,,,,,,UCS751L/UCS752L/UCS754L/UCS758L/UCS750L/UCS762L/UCS760L/UCS748L/UCS745L/UCS772L/UMC743L,,,,,,,,,,,,,,,,,5,11:20 AM
D,,,,LP106/E304/LP109/T101/E305/E308/E101/E205/F105/E104/LE101,,,,,,,,,,,,,,PSR/SSH/NRJ/ANJ/GS/RAH/HMK/RKT/SMG/GEK/KUC,,,,,,LP106/E304/LP109/T101/E305/E308/E101/E205/F105/E104/LE101,,,,,,,,,,,,,,PSR/SSH/NRJ/ANJ/GS/RAH/HMK/RKT/SMG/GEK/KUC,,,,,,LP106/E304/LP109/T101/E305/E308/E101/E205/F105/E105/LE101,,,,,,,,,,,,,,PSR/SSH/NRJ/ANJ/GS/RAH/HMK/RKT/SMG/MAK/KUC,,,,,,LP106/E304/LP109/T101/E305/E308/E101/E205/F304/E105/LE101,,,,,,,,,,PSR/SSH/NRJ/ANJ/GS/RAH/HMK/RKT/VJY/MAK/KUC,,,,,,LP106/E304/LP109/T101/E305/E308/E101/F112/F304/E107/LT101,,,,,,,,,,PSR/SSH/NRJ/ANJ/GS/RAH/HMK/JYT/VJY/SEW/KUC,,,,,,LP106/E304/LP109/T101/E305/E308/E101/F112/F304/E107/LE101,,,,,,,,,,PSR/SSH/NRJ/ANJ/GS/RAH/HMK/JYT/VJY/SEW/KUC,,,,,,D,,
,6,,12:10 PM,UCS751L/UCS752L/UCS754L/UCS758L/UCS750L/UCS762L/UCS760L/UCS748L/UCS745L/UCS772L/UMC743L,,,,,,,,,,,,,,,,,,,,UCS751L/UCS752L/UCS754L/UCS758L/UCS750L/UCS762L/UCS760L/UCS748L/UCS745L/UCS772L/UMC743L,,,,,,,,,,,,,,,,,,,,UCS751L/UCS752L/UCS754L/UCS758L/UCS750L/UCS762L/UCS760L/UCS748L/UCS745L/UCS772L/UMC743L,,,,,,,,,,,,,,,,,,,,UCS751L/UCS752L/UCS754L/UCS758L/UCS750L/UCS762L/UCS760L/UCS748L/UCS745L/UCS772L/UMC743L,,,,,,,,,,,,,,,,UCS751L/UCS752L/UCS754L/UCS758L/UCS750L/UCS762L/UCS760L/UCS748L/UCS745L/UCS772L/UMC743L,,,,,,,,,,,,,,,,UCS751L/UCS752L/UCS754L/UCS758L/UCS750L/UCS762L/UCS760L/UCS748L/UCS745L/UCS772L/UMC743L,,,,,,,,,,,,,,,,,6,12:10 PM
A,,,,LP106/E304/LP109/T101/E305/E308/E101/E205/F105/E104/LE101,,,,,,,,,,,,,,PSR/SSH/NRJ/ANJ/GS/RAH/HMK/RKT/SMG/GEK/KUC,,,,,,LP106/E304/LP109/T101/E305/E308/E101/E205/F105/E104/LE101,,,,,,,,,,,,,,PSR/SSH/NRJ/ANJ/GS/RAH/HMK/RKT/SMG/GEK/KUC,,,,,,LP106/E304/LP109/T101/E305/E308/E101/E205/F105/E105/LE101,,,,,,,,,,,,,,PSR/SSH/NRJ/ANJ/GS/RAH/HMK/RKT/SMG/MAK/KUC,,,,,,LP106/E304/LP109/T101/E305/E308/E101/E205/F304/E105/LE101,,,,,,,,,,PSR/SSH/NRJ/ANJ/GS/RAH/HMK/RKT/VJY/MAK/KUC,,,,,,LP106/E304/LP109/T101/E305/E308/E101/F112/F304/E107/LE101,,,,,,,,,,PSR/SSH/NRJ/ANJ/GS/RAH/HMK/JYT/VJY/SEW/KUC,,,,,,LP106/E304/LP109/T101/E305/E308/E101/F112/F304/E107/LT102,,,,,,,,,,PSR/SSH/NRJ/ANJ/GS/RAH/HMK/JYT/VJY/SEW/KUC,,,,,,A,,
,7,,1:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1:00 PM
Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,
,8,,1:50 PM,,,,,,,,,,,,,,,,,,,,,UHU005P,,,,,,,,,,,,,,,,,,,,,,,,,,,,UCS802P,,UCS802P,,,,,,,,,,UHU005L,,,,,,,,,,,,,,,,,,,,UHU005P,,,,UHU005P,,,,,,,,UHU005P,,,,,,,,,,,,UCS802P,,,,,8,1:50 PM
,,,,,,,,,,,,,,,,,,,,,,,,F304,,,,,,,,,,,,,,,,,,,,,,,,,,,,GC-1(L106),,GC-2(L107),,,,,,,,,,T101,,,,,,,,,,,,,,,SPT,,,,,F316,,,,F302,,,,,,,,E308,,,,,,,,,,,,CG-1(L429),,,,,,
,9,,2:40 PM,,,,,,,,,,,,,,,,,,,,,AST,,,,,,,,,,,,,,,,,,,,,,,,,,,,LAB,,LAB,,,,,,,,,,UCS802L,,,,,,,,,,,,,,,,,,,,LAB,,,,LAB,,,,,,,,LC22,,,,,,,,,,,,LAB,,,,,9,2:40 PM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GUS-RA,,AA,,,,,,,,,,T101,,,,,,,,,,,,,,,SKH,,,,,LC24,,,,LC26,,,,,,,,,,,,,,,,,,,,RUB,,,,,,
,10,,3:30 PM,,,UHU005P,,,,,,,,,,,,UCS802P,,,,,,,,,,,,,,,,,,,,,,,,,,UCS751P/UCS748P/UCS745P/UCS772P,,,,,,,,UCS751P/UCS748P/UCS745P/UCS772P,,UCS751P/UCS748P/UCS745P/UCS772P,,,,UCS751P/UCS748P/UCS745P/UCS772P,,,,,,UCS751P/UCS748P,,,,,,,,,,,,,,,,UCS802P,,UCS802P,,,,,,,,UHU005P,,,,,,,,,,,,,,,,,,,,,,,10,3:30 PM
,,,,,,F304,,,,,,,,,,,,CG1(L429),,,,,,,,,,,,,,,,,,,,,,,,,,L102/L409/L206/L307,,,,,,,,L102/L409/L206/L009,,L102/L409/L207/L009,,,,L102/L409/L207/L308,,,,,,L102/L401,,,,,,,,,,,,,,,,CG-1(L106),,GC-2(L107),,,,,,,,F302,,,,,,,,,,,,,,,,,,,,,,,,
,11,,4:20 PM,,,LC24,,,,,,,,,,,,LAB,,,,,,,,,,,,,,,,,,,,,,,,,,LAB,,,,,,,,LAB,,LAB,,,,LAB,,,,,,LAB,,,,,,,,,,,,,,,,LAB,,LAB,,,,,,,,LC25,,,,,,,,,,,,,,,,,,,,,,,11,4:20 PM
,,,,,,,,,,,,,,,,,,AAS,,,,,,,,,,,,,,,,,,,,,,,,,,PSR/RKT/VJY/GEK,,,,,,,,PSR/RKT/VJY/MAK,,PSR/RKT/RIA-RA/MAK,,,,PSR/RKT/RIA-RA/SEW,,,,,,PSR/JYT,,,,,,,,,,,,,,,,GUS-RA,,AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12,,5:10 PM,UMC743P,,,,,,,,,,,,,,,,,,,,UMC743P,,,,,,,,,,,,,,,,,,,,UMC743P,,,,,,,,,,,,,,,,,,,,UMC743P,,,,,,,,,,,,,,,,UMC743P,,,,,,,,,,,,,,,,UMC743P,,,,,,,,,,,,,,,,,12,5:10 PM
,,,,L002,,,,,,,,,,,,,,,,,,,,L007,,,,,,,,,,,,,,,,,,,,L008,,,,,,,,,,,,,,,,,,,,L010,,,,,,,,,,,,,,,,L011,,,,,,,,,,,,,,,,L004,,,,,,,,,,,,,,,,,,
,13,,6:00PM,LAB,,,,,,,,,,,,,,,,,,,,LAB,,,,,,,,,,,,,,,,,,,,LAB,,,,,,,,,,,,,,,,,,,,LAB,,,,,,,,,,,,,,,,LAB,,,,,,,,,,,,,,,,LAB,,,,,,,,,,,,,,,,,13,6:00PM
,,,,KUC,,,,,,,,,,,,,,,,,,,,KUC,,,,,,,,,,,,,,,,,,,,KUC,,,,,,,,,,,,,,,,,,,,KUC,,,,,,,,,,,,,,,,KUC,,,,,,,,,,,,,,,,KUC,,,,,,,,,,,,,,,,,,
,14,,6:50PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,6:50PM
