DAY,SR.NO,HOUR,,,M.E. CIVIL,,,,M.E. CIVIL,,,,M.E. CIVIL,,,,M.E. CIVIL,,,,M.E. CIVIL,,,,ME -EV,,,,MCA 1st Year,,,,,,,,,,2MCA1,,,,,,,,1ME AI,,,,ME CSE 1st Year,,,,,,,,M.Tech. (EST),,MSC Ist Yr CHEM ,,,,MSc(PHY) 1,,,,MSc(PHY) 2,,MSc -Mathematics & Computing,,MSc -Mathematics & Computing,,M.E. CIVIL,,,,PG-MEE (Mechanical),,M.Tech. BTD,,MSC BTD 1st Year,,,,MSC BTD 2nd Year,,,,P.H.D,
,,,M.E. INFRASTRUCTURE IInd SEM,,M.E. STRUCTURES IInd SEM,,M.E. INFRASTRUCTURE IInd SEM,,M.E. STRUCTURES IInd SEM,,M.E. INFRASTRUCTURE IInd SEM,,M.E. STRUCTURES IInd SEM,,M.E. INFRASTRUCTURE IInd SEM,,M.E. STRUCTURES IInd SEM,,M.E. INFRASTRUCTURE IInd SEM,,M.E. STRUCTURES IInd SEM,,MTECH VLSI     FIRST SEM,,1ST YEAR(EIED),,MTECH VLSI     ,,1MCA 1,,1MCA 2,,1MCA 3,,1MCA 4,,1MCA 5,,2MCA 1,,2MCA2,,2MCA3,,2MCA4,,1MEAI 1,,1MEAI 2,,1ME(CS)1,,1ME(CS)2,,1ME(CS)3,,1ME(CS)4,,,,MSC Ist Yr CHEM ,,MSC IInd Yr CHEM ,,G1,,,,G1,,1ST YEAR,,2ND YEAR,,M.E. STRUCTURES Ist SEM,,M.E. TRANSPORTATION Ist SEM,,,,M.Tech. 1 (BT),,MS 1(BT1),,MS 1(BT2),,MS 2(BT1),,MS 2(BT2),,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,E110,MFD,LP106,,,,,,,SUS,,,LP105,,,,,,,ABJ,,,,,,,,,,,,,JPR,,,,,,E314,,,APB,,,SPN,,ASA,,,,,,E201,DK,,,,,,,,,,,,
,12,5:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13,6:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,6:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,8:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,MCA207L,,,,,,,,,,,,,,MCA303P,,,,,,,,PCS114P,,,,,,PCS206P,,,,,,,,,,,,,,,,PMC331P,,,,,,,,,,,,,,,,,,,
T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LP106,,,,,,,HMK,,,,,,,IOT(L302),,,,,,,,DT(L308),,,,,,ML(L009),,,,,,,,,,,,,,,,AI(L307),,,,,,,,,,,,,,,,,,,
,2,8:50:AM ,,,,,,,,,,,,,,,,,,,,,,,,,,,MCA107L,,,,,,,,,,,,,,LAB,,,,,,,,LAB,,,,,,LAB,,,,,,,,,,,,,,,,LAB,,,,,,,,PBY109L,,PBT115L ,,,,,,,,,
U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LP106,,,,,,,,,GEK,,,,,SNL-RA,,,,,,,,SHW-RA,,,,,,ARU-RA,,,,,,,,,,,,,,,,ASN,,,,,,,,F306,DD,F307 ,,AKR,,,,,,,
,3,9:40: AM ,,,,,,,,,,,,,,,,,,,,,,,PEV101L,,,,MCA107P,,,,,,,,,,,,,,,,MCA203P,,PHU004L,,,,PHU004L,,,,,,,,,,,,,,PHY104L,,,,PPH314L,,,,PMA303L,,PCL105L,,PCL105L,,PCL108L,,PBY107L  ,,PBT113L  ,,,,PBT304L ,,,,,
E,,,,,,,,,,,,,,,,,,,,,,,,,E105,SS,,,IOT(L302),,,,,,,,,,,,,,,,GA(L002),,LP106,,,RAV,LP106,,,,,,,RAV,,,,,,,E314,,,RKK,E202,RKR,,,F212,KVT,E201,VJK,E201,VJK,E201,VJK,F306,OVQ,F305,,SS,,F307,,MVR,,,
,4,10:30: AM,,,,,,,,,,,,,,,,,,,,,,,PEV105L,,,,LAB,,,,,,,,,,,,,,,,LAB,,PAI106L,,,,PCS114L,,,,,,,,,,PCYXXXL,,PCY307L,,PHY104L,,,,PPH314L,,PMC L,,PMA304L,,PCE103L,,PTE105L,,PCD312L,,PBY108L ,,PIM101L ,,,,PBT305L ,,,,DMC013L,
S,,,,,,,,,,,,,,,,,,,,,,,,,E105,SKA,,,GEK,,,,,,,,,,,,,,,,KRT-RA,,LP108,,,SMR,LP106,,,,,,,SHV,,,T202,AAL,T203,KPU,E314,,,RKK,E202,RKR,F211,MER,F212,AK,E203,PPB,E204,ABK,E201,VKH,F306,BB,F305 ,,SJK,,F307,, AKR,,F105,RJD
,5,11:20 AM,,,,,,,,,,,,,,,,,,,,,,,PEV101P,,PVL111L,,MCA302P,,MCA103P,,MCA105P,,MCA105P,,MCA102P,,MCA303P,,,,MCA203P,,MCA203P,,,,PAI102P,,,,,,,,,,,,PIMXXXL,,PCY302L,,PHY101L,,,,PPH308L,,PYTHON L,,PMA301L,,PCE101L,,PTE104L,,PCD107L,,PBY105L ,,PBT114L ,,,,"PHU301L 
F307",,,,,
D,,,,,,,,,,,,,,,,,,,,,,,,,C113,TA16,E110,RS,IS1(L408),,ES-1(L401),,IS2(L409),,ES2(L402),,ED1(L101),,SE2(L105),,,,CIS(L301),,CG2(L430),,,,ML(L009),,,,,,,,,,,,T202,HG,T203,VLX,E314,,,DKS,E202,JTK,F211,SPN,F212,SC,E203,NKW,E204,RP,E201,JSS,F306,DS,F305 ,,VKH,,F307,,RAV,,,
,6,12:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,PVL103L,,LAB,,LAB,,LAB,,LAB,,LAB,,LAB,,,,LAB,,LAB,,,,LAB,,,,,,,,,,,,PCYXXXL,,PCY308L,,PHY102L,,,,PPH301L,,PYTHON L,,,,PCE204L,,PTE101L,,,,PMA102L ,,,,,,PBT303L ,,,,,
A,,,,,,,,,,,,,,,,,,,,,,,,,,,E110,AKC,SUS,,JHS-RA,,SBN-RA,,SHU-RA,,JEE-RA,,VBH,,,,KRT-RA,,KRT-RA,,,,AMT,,,,,,,,,,,,T202,BG,T203,VT,E314,,,SAK,E202,ALU,F211,SPN,,,E203,TRN,E204,MNK,,,F306,JPR ,,,,,F307,,MSR,,,
,7,1:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCS108L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LP106,,,,,,,SAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,1:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MCA105P,,,,,,,,,,,,,,PCS113L,,,,,,,,,,,,,,,,,,,,PMC L,,PMA206L,,,,PTE105T,,,,,,,,,,PBT304P G1 ,,,,DMC007P,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GA(L002),,,,,,,,,,,,,,LP106,,,,,,,KAS,,,,,,,,,,,PPH320P,,F211,MER,F212,ST,,,E204,,,,,,,,,,,,,,NA2(G204),
,9,2:40 PM,,,,,,,,,,,,,,,,,,,,,,,PEV104P,,PVL112L,,,,,,,,,,LAB,,,,,,,,,,,,,,PCS206L,,,,,,,,,,,,PCY322L,,,,,,G319,JTK,PMC L,,PMA206L,,,,ABK,,,,,,,,PHU002T G2,,Micro Lab,MVR,,,LAB,
,,,,,,,,,,,,,,,,,,,,,,,,,C223,YT,E110,SKR,,,,,,,,,SHU-RA,,,,,,,,,,,,,,LP106,,,,,,,SR,,,,,T203,MIL,,,,,,,F211,YK,F212,ST,,,,,,,,,,,F306 ,APB,,,,,VJK,
,10,3:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,PVL103T,,MCA207P,,,,,,,,,,MCA303L,,,,,,,,PAI102L,,,,,,,,PCS206P,,,,,,,,PCY326P,,,,,,,,,,,,PCE103T,,PTE101P,,,,PBY105P  ,,PBT113P G1  ,,PBT110P G2  ,,PBT305P G1 ,,PBT301P G2,,DMC016L,
,,,,,,,,,,,,,,,,,,,,,,,,,,,E110,AKC,PGR(L313),,,,,,,,,,LP106,,,,,,,VBH,LP106,,,AMT,,,,,IS1(L408),,,,,,,,T203,,,,,,,,,,,,E203,,TPE LAB (D117),,,,,,,,,,,,,,F307,NB
